# x 	 y
0 	 0
1 	 0.841471
2 	 0.909297
3 	 0.14112
4 	 -0.756802
5 	 -0.958924
6 	 -0.279415
7 	 0.656987
8 	 0.989358
9 	 0.412118
10 	 -0.544021
11 	 -0.99999
12 	 -0.536573
13 	 0.420167
14 	 0.990607
15 	 0.650288
16 	 -0.287903
17 	 -0.961397
18 	 -0.750987
19 	 0.149877


#Cubic sub-spline
# x 	 ySub 	 yCubic 	 yQuad
17.75 	 -0.840793 	 -0.887029 	 -0.892687
17.8 	 -0.825514 	 -0.863893 	 -0.869099
17.85 	 -0.808959 	 -0.838685 	 -0.843135
17.9 	 -0.791063 	 -0.811441 	 -0.814795
17.95 	 -0.771761 	 -0.782197 	 -0.784079
18 	 -0.750987 	 -0.750987 	 -0.750987
18.05 	 -0.72324 	 -0.717859 	 -0.716169
18.1 	 -0.684123 	 -0.682897 	 -0.680275
18.15 	 -0.635228 	 -0.646199 	 -0.643304
18.2 	 -0.578145 	 -0.607861 	 -0.605257
18.25 	 -0.514467 	 -0.567979 	 -0.566134
18.3 	 -0.445786 	 -0.52665 	 -0.525934
18.35 	 -0.373692 	 -0.48397 	 -0.484658
18.4 	 -0.299778 	 -0.440036 	 -0.442305
18.45 	 -0.225634 	 -0.394945 	 -0.398877
18.5 	 -0.152853 	 -0.348792 	 -0.354372
18.55 	 -0.0830259 	 -0.301675 	 -0.30879
18.6 	 -0.0177445 	 -0.253689 	 -0.262133
18.65 	 0.0413997 	 -0.204932 	 -0.214398
18.7 	 0.0928153 	 -0.155499 	 -0.165588
18.75 	 0.13491 	 -0.105487 	 -0.115701
18.8 	 0.166094 	 -0.0549932 	 -0.0647383
18.85 	 0.184774 	 -0.00411323 	 -0.0126989
18.9 	 0.189359 	 0.0470561 	 0.0404168
18.95 	 0.178257 	 0.0984184 	 0.0946088
19 	 0.149877 	 0.149877 	 0.149877
19.05 	 0.102628 	 0.201336 	 0.206222
19.1 	 0.034917 	 0.252698 	 0.263643
19.15 	 -0.0548465 	 0.303868 	 0.32214
19.2 	 -0.168254 	 0.354748 	 0.381714
19.25 	 -0.306898 	 0.405242 	 0.442364
19.3 	 -0.47237 	 0.455253 	 0.504091
19.35 	 -0.66626 	 0.504686 	 0.566893
19.4 	 -0.890161 	 0.553444 	 0.630772
19.45 	 -1.14566 	 0.601429 	 0.695728
19.5 	 -1.43436 	 0.648547 	 0.761759
19.55 	 -1.75784 	 0.694699 	 0.828867
19.6 	 -2.1177 	 0.739791 	 0.897052
19.65 	 -2.51553 	 0.783725 	 0.966312
19.7 	 -2.95292 	 0.826404 	 1.03665
19.75 	 -3.43146 	 0.867733 	 1.10806
19.8 	 -3.95274 	 0.907615 	 1.18055
19.85 	 -4.51836 	 0.945953 	 1.25412
19.9 	 -5.1299 	 0.982651 	 1.32876
19.95 	 -5.78896 	 1.01761 	 1.40448
